RiverKm,Bank,Easting,Northing
0.5,C,503441,5565943
0.8,R,503568,5565712
1.5,L,503474,5564999
2,L,503248,5564439
3.3,L,503248,5564439
3.7,R,502993,5562994
5.7,L,503568,5561519
6.7,R,503309,5560730
7,R,503431,5560367
7.8,L,503368,5559757
9.2,L,503605,5558579
9.4,R,503882,5558453
